Question,1,2,3,Correct Answer
Which of these artists did NOT perform at Live Aid?,Stevie Wonder,Elton John,Mick Jagger,Stevie Wonder
What were the first names of Dr. Jekyll and Mr. Hyde in the original story?,Henry / Edward,George / Harry,William / William,Henry / Edward
What cave feature is known for pointing down?,Stalactite,Stalagmite,Shellac,Stalactite
The musical A Little Night Music' features a famous song called Send In the' what?,Clowns,Boys,Troops,Clowns
To what part of a jacket are decorative pins often attached?,Lapel,Cat bell,Dog smell,Lapel
What name describes a sandwich without any bread on top?,Open-faced,Two-faced,About-faced,Open-faced
"By definition, a philistine would likely NOT be interested in which of these things?",The opera,Weather,Napping,The opera
Which NHL star is NOT one of two native Russians to win the Conn Smythe Trophy?,Pavel Bure,Evgeni Malkin,Alex Ovechkin,Pavel Bure
Where was Brett Farve's first NFL team located?,Georgia,Minnesota,Wisconsin,Georgia
A 10-story billboard of what athlete has just been taken down in Cleveland?,LeBron James,Michael Jordan,Tiger Woods,LeBron James
Which of these is NOT the name of a bar in Antarctica?,The End of the World,Faraday Bar,Southern Exposure,The End of the World
Which of these kinds of stone can be found scattered across a Pacific archipelago?,Latte stone,Coffee stone,Venti stone,Latte stone
"On The Office,' which of these characters joined The Michael Scott Paper Company?",Pam,Stanley,Jim,Pam
Which Texas city is farthest north?,Dallas,San Antonio,Austin,Dallas
"According to the USDA, which of these countries is currently among the world's top five beef producers?",India,Venezuela,Australia,India
What device raises a car up when attaching a spare tire?,Jack,Jeff,Jimbo,Jack
One of two elements Marie Curie helped discover pays tribute to her what?,Homeland,Relative,Lab partner,Homeland
Which of these is a subatomic particle?,Electron,Carmen Electra,Voltron,Electron
Which of these was previously the name of a US state capital?,Pig's Eye,Horse's Hoof,Wolf's Tooth,Pig's Eye
Which of these things happened to the World Cup trophy in the 1960s?,Recovered by a dog,Sprayed by a skunk,Infested with bees,Recovered by a dog
The outside of which of these fruits technically consists of coalesced berries?,Pineapple,Strawberry,Grapefruit,Pineapple
"If your clothing catches fire, experts urge you to stop, drop and' what?",Roll,Wave,Boogie,Roll
"In Independence Day,' what word does the American president say will get a new meaning'?",Mankind,Fight,American,Mankind
What state boasts the capital city with the longest name?,Missouri,Oklahoma,Indiana,Missouri
What is the nickname of the only US president born on the 4th of July?,Silent Cal,Uncle Jumbo,Old Rough and Ready,Silent Cal
Where does America's most famous competitive hot dog eating competition take place?,Brooklyn,Queens,Staten Island,Brooklyn
Which of these Simpsons' characters was named for a US president?,Milhouse Van Houten,Bart Simpson,Monty Burns,Milhouse Van Houten
The song Yankee Doodle' was originally meant to mock whom?,Americans,British,Italians,Americans
Which of these lyrics is in Miley Cyrus's Party in the USA'?,Put my hands up,Stick your hands up,Get these hands off me,Put my hands up
"As JFK said, Ask not what your country can do for you, ask what you can do for your' what?",Country,Cactus,Cassingle collection,Country
Which of these is found in the southernmost US state?,Royal palace,Oldest US city,Largest US ranch,Royal palace
"By acreage, which US site is the largest?",Talladega Superspeedway,Yankee Stadium,Churchill Downs,Talladega Superspeedway
What recreation has been known as America's Pastime' for over a century?,Baseball,Marco Polo,Laser tag,Baseball
The expression 24/7' refers to what time frame?,All the time,Daytime,Weekends only,All the time
What American conflict counts the greatest number of US presidents as veterans?,Civil War,Revolutionary War,Mexican-American War,Civil War
Which of these movies is considered fresh' on Rotten Tomatoes?,The Mask,Ace Ventura,The Cable Guy,The Mask
Which of these mythical monsters originated in the Americas?,Zombies,Werewolves,Vampires,Zombies
"In traditional color theory, which of these colors is considered cool?",Blue,Orange,Pink,Blue
The rule of thirds' is often used in which of these activities?,Photography,Cooking,Running,Photography
"In darts, the name of the throwing line is said to come from what old contest?",Spitting,Log flipping,Dog racing,Spitting
Which American star was upset in the first round at Wimbledon this week?,Sloane Stephens,Madison Keys,Serena Williams,Sloane Stephens
What is the name of the NHL team based in Toronto?,Maple Leafs,Maple Leaves,Canadiens,Maple Leafs
Which is NOT a space on the Yahtzee score sheet?,Flush,Chance,Full house,Flush
Which American currently holds the official record for most Tour de France wins?,Greg LeMond,Eddy Merckx,Lance Armstrong,Greg LeMond
What letters would you expect to find in the gerund form of a verb?,-ing,-ed,-er,-ing
What nut is traditionally used to make marzipan?,Almonds,Peanuts,Pecans,Almonds
Much of the US is currently experiencing what weather phenomenon?,Heat dome,Ice shelf,Freezy frenzy,Heat dome
Who is the protagonist of the Lord of the Rings' movies?,Frodo Baggins,Conestoga Waggins,Komodo Draggins,Frodo Baggins
What legendary artist is credited as a producer on multiple Disney Channel Original Movies?,Whitney Houston,Beyonc\xc3\xa9,Mariah Carey,Whitney Houston
Which of these insects is the official state butterfly for the most US states?,Tiger swallowtail,Mourning cloak,White admiral,Tiger swallowtail
"By total area, which pair of countries are closest in size?",United States / Canada,Brazil / Argentina,Russia / China,United States / Canada
What is the only element in the molecule named for the eccentric inventor of Dymaxion' products?,Carbon,Gold,Silicon,Carbon
Which of these fizzy drinks glows under a blacklight?,Tonic water,Birch beer,Cream soda,Tonic water
What time does a clock display when the big hand is on 6 and the little hand is between 2 and 3?,2:30:00 AM,6:12:00 AM,5:40:00 AM,2:30:00 AM
Which title is a real movie in the Pirates of the Caribbean' series?,Dead Man's Chest,X Marks the Spot,Davy Jones' Locker,Dead Man's Chest
How are most doorknobs operated?,By turning,By squishing,By yelling,By turning
Which of these artists recorded one of Billboard's 10 best-performing songs of all time?,LMFAO,Backstreet Boys,Adele,LMFAO
What nation's capital is also the name of a key character in the The Iliad'?,France,Germany,Bulgaria,France
Canadians use the term Chinook' to refer to a type of what?,Prairie wind,Mountain range,Winter hat,Prairie wind
Which of these is a common way of preparing eggs?,Sunny Side Up,Scattered Clouds,Thunderstorm Down,Sunny Side Up
Which of these can help significantly when building a campfire?,Kindling,We Bought a Zoo DVD,Justin Trudeau's smile,Kindling
In what athletic activity would you use equipment featuring sandwich rubbers'?,Table tennis,Golf,Yoga,Table tennis
Which of these creatures is usually capable of flight?,Bird,Otter,Worm,Bird
What type of plant do winemakers put in vineyards to detect mildew in the air?,Roses,Mustard,Beets,Roses
What Latin phrase is written on most US currency?,E Pluribus Unum,In-A-Gadda-Da-Vida,Bawitdaba,E Pluribus Unum
Which of these sports uses a puck?,Ice hockey,Baseball,Horse racing,Ice hockey
Who was the last golfer to win the same major in back-to-back years?,Brooks Koepka,Bubba Watson,Tiger Woods,Brooks Koepka
Which of these Warriors is currently a potential free agent for the upcoming season?,Kevin Durant,Steph Curry,Klay Thompson,Kevin Durant
Which stat is NOT considered part of the classic triple crown' in baseball?,Stolen bases,RBI,Batting average,Stolen bases
In which of these sporting events do competitors use a broom during game play?,Curling,Ski jumping,400m hurdles,Curling
"Who is the girl' in Drake's famous lyric, Is that a world tour or your girl's tour?'",Nicki Minaj,Beyonc\xc3\xa9,Cardi B,Nicki Minaj
Fake movie and TV phone numbers are known for having what three digits?,555,321,888,555
Sunglasses with UV protection help keep you safe from what?,Ultraviolet radiation,University of Vermont,Underwater vermin,Ultraviolet radiation
Which of these words describes a house made out of snow?,Igloo,Waterloo,Skip to my loo,Igloo
What electrical unit is represented by the Greek letter Omega?,Ohm,Volt,Amp,Ohm
Which of these national flags combines a design element with three horizontal stripes?,Argentina,Armenia,Austria,Argentina
Which of these muscle-bound action stars has a twin?,Vin Diesel,Dwayne Johnson,John Cena,Vin Diesel
In what general direction does the sun rise?,East,South,North West,East
Famed costume designer Patricia Field worked on which of these films?,The Devil Wears Prada,Batman and Robin,Zoolander,The Devil Wears Prada
Which of these songs was featured in a Rocky' movie?,Eye of the Tiger,You're the Best,Under Pressure,Eye of the Tiger
What creatures act as the postal service in the Harry Potter' films?,Owls,Dragons,Goblins,Owls
What principle is the first of Isaac Asimov's three robotics laws concerned with?,Human safety,Obedience,Self-preservation,Human safety
What color is chartreuse?,Yellowish-green,Purplish-blue,Pinkish-red,Yellowish-green
Which instrument can be played pizzicato?,Violin,Oboe,Trombone,Violin
Which of these countries has NOT been included on the Tour de France route?,Austria,Netherlands,Italy,Austria
Which term refers to the practice of tightly wrapping newborn babies in blankets?,Swaddling,Waffling,Gosling,Swaddling
James Cook is credited with bringing taboo' to the English language from what place?,Tonga,Seychelles,Fiji,Tonga
The literary character Don Quixote is also known by what moniker?,Man of La Mancha,Man of La Bamba,Man of La Mojo,Man of La Mancha
Which of these sports is often played on the beach?,Volleyball,Tennis,Bowling,Volleyball
"In the entertainment industry, EGOT' stands for Emmy, Grammy, Oscar, and what?",Tony,Teddy Ruxpin,Termite infestation,Tony
"In the Jay-Z song Empire State of Mind,' which of these New York locations is mentioned by name?",Tribeca,Soho,The Bronx,Tribeca
Which Disney animated film has NOT been adapted into a Broadway musical?,Mulan,The Little Mermaid,Aladdin,Mulan
Someone holding a grudge is said to have what on their shoulder?,Chip,Dandruff,Parrot,Chip
Which of these Revolutionary War battles happened first?,Battle of Bunker Hill,Battle of Monmouth,Battle of Yorktown,Battle of Bunker Hill
Which of these fashion terms comes from an English town?,Henley,Polo,Cashmere,Henley
"What is the typical response to a joke starting with Knock, knock'?",Who's there?,We don't want any.,What are those???,Who's there?
Bonding fructose with glucose will produce which of these things?,Sucrose,Lactose,Maltose,Sucrose
"Using its original dictionary definition, decimating' 100 apples would leave you with how many?",90,1,10,90
Which of these shapes has eight corners?,Cube,Tetrahedron,Octahedron,Cube
What popular board game introduced the Pop-O-Matic' bubble?,Trouble,Sorry!,Aggravation,Trouble
Which school's campus is technically in a different city than the other two?,Boston University,Harvard,MIT,Boston University
What classic TV show opens with music composed by an inventor of the sousaphone?,Monty Python,The Honeymooners,Meet the Press,Monty Python
Which of these wealthy people has NEVER mounted a US presidential campaign?,Richard Branson,H. Ross Perot,Steve Forbes,Richard Branson
Which of these is an uncooked sauce' that comes in green or red?,Chimichurri,Chimichanga,Chilaquiles,Chimichurri
What did the giant in Jack and the Beanstalk' famously say?," Fee, fi, fo, fum ",YOLO,Y'all small," Fee, fi, fo, fum "
Which of these 1'0s hit songs features only a single vocalist?,I Can't Make You Love Me,All for Love,Justify My Love,I Can't Make You Love Me
"During production, Return of the Jedi' was briefly known as what?",Revenge of the Jedi,Return of Vader,The Final Jedi,Revenge of the Jedi
Which pricing game on The Price is Right' is loosely based on Yahtzee?,Let 98em Roll,Lucky Seven,Any Number,Let 98em Roll
Which of these Yiddish words has a positive connotation?,Kemfer,Narish,Schmendrick,Kemfer
What impressive accomplishment was Koko the Gorilla most known for?,Learning sign language,Playing piano,Playing chess,Learning sign language
What word describes a victory that takes so much out of the winner that it's basically a loss?,Pyrrhic,Moral,Strategic,Pyrrhic
"By definition, an unctuous person gives too many what?",Compliments,Tasks,Personal details,Compliments
The US holiday known as Juneteenth celebrates news that was delivered where in 1865?,Texas," Washington, DC",Virginia,Texas
Which of these activities was NOT named after a real person?,Zumba,Pilates,Burpee,Zumba
Who founded the American Red Cross?,Clara Barton,Juliette Gordon Low,Florence Nightingale,Clara Barton
Which of these Bruce Springsteen songs can best be classified as a protest song?,Born in the USA,Dancing in the Dark,Hungry Heart,Born in the USA
"In the sport of powerlifting, what type of weight is used in a bench press?",Barbell,Kettlebell,Dumbbell,Barbell
In what sport is the ball misleadingly nicknamed a pigskin'?,Football,Basketball,Baseball,Football
Which of these pieces of clothing is named for its shape?,T-shirt,Khakis,Jeans,T-shirt
"In Ian Fleming's series of novels, what is the name of the agent assigned the number 007?",James Bond,Ari Gold,Cody Banks,James Bond
Which of these NBA franchises was previously located in Philadelphia?,Warriors,Celtics,Cavaliers,Warriors
Marie Curie was the first person to win what twice?,Nobel Prize,People's Choice Award,Heisman Trophy,Nobel Prize
New member of the International Boxing Hall of Fame Vitali Klitschko now holds what job?,Mayor,English teacher,Medical doctor,Mayor
"In the NHL, which of these is the most severe penalty?",Misconduct,Double minor,Major,Misconduct
"A year ago today, Diana Taurasi became the WNBA's all-time leader in what category?",Points,Home runs,Touchdowns,Points
Which of these is the name of a real MLB mascot?,Phillie Phanatic,Boston Bumblebee,San Diego Nacho Thief,Phillie Phanatic
Which of these authors was NOT credited in the 1946 film The Big Sleep'?,Truman Capote,William Faulkner,Raymond Chandler,Truman Capote
In what desert can you find the Burning Man festival?,Black Rock,Mojave,Baja,Black Rock
Which of these card games comes from the Spanish word for basket'?,Canasta,Pinochle,Rummy,Canasta
Which of these cities has a higher population than the US Army?,San Diego,San Francisco,Austin,San Diego
Which of these was controversially declared a vegetable in a famous 1890s Supreme Court case?,Tomato,Eggplant,Cactus,Tomato
Which of these words is an example of onomatopoeia?,Ding-dong,Flim-flam,Knick-knack,Ding-dong
Which of these cooking techniques is typically described as low and slow'?,Smoking,Searing,Direct heat,Smoking
What are the raised edges on the neck of a standard guitar called?,Frets,Worries,Anxieties,Frets
"In the US, what holiday is celebrated on the third Sunday of June?",Father's Day,Friendsgiving,Chrismukkah,Father's Day
What words are traditionally printed in large type at the bottom of a Ouija board?,GOOD BYE,LIGHT DARK,LISTEN WELL,GOOD BYE
Which of these temperatures is warmest?,0\xc2\xb0 Celsius,0\xc2\xb0 Fahrenheit,0\xc2\xb0 Kelvin,0\xc2\xb0 Celsius
Which author's name is NOT a pseudonym?,Charles Dickens,Lewis Carroll,George Orwell,Charles Dickens
"Before acquiring a driver's license, new drivers typically have to get what?",Learner's permit,Jury summons,Property deed,Learner's permit
The cartoon aardvark Arthur lives in what fictional town?,Elwood City,Nightingale Heights,Bookerton,Elwood City
What is the NFL penalty for clipping?,15 yards,Saturday detention,No dessert,15 yards
Animals that only eat plants are called what?,Herbivorous,Carnivorous,Omnivorous,Herbivorous
What snack do American children traditionally leave out for Santa Claus?,Milk / cookies,Jerky / tomato juice,Tofu / steamed okra,Milk / cookies
What hip-hop act's debut album title was a 31-letter made-up word?,OutKast,Ludacris,DMX,OutKast
"After this year, what is the next animal that will come up in the Chinese zodiac?",Pig,Rabbit,Ox,Pig
Which of these movie production steps is typically performed after the other two?,Editing,Pre-production,Shooting,Editing
"Associated with citrus fruits, ascorbic acid is better known as what?",Vitamin C,Garlic,Ginseng,Vitamin C
A colon followed by a hyphen and a closing parenthesis form an emoticon doing what?,Smiling,Sticking its tongue out,Frowning,Smiling
What character did JK Rowling famously create?,Harry Potter,Scary Otter," Welcome Back, Kotter",Harry Potter
What famous Sam Cooke recording was NOT written by Sam Cooke?,For Sentimental Reasons,You Send Me,Twistin' The Night Away,For Sentimental Reasons
Where did the genre of music known as y\xc3\xa9-y\xc3\xa9 originate?,France,Brazil,Chicago,France
What is another common name for the Oxford comma?,Harvard comma,Cambridge comma,Appalachian State comma,Harvard comma
Which of these was the name of a communist country in the 20th century?,East Germany,East New York,East Canada,East Germany
"In basketball, shooting free throws underhand is often called what?",Granny style,Slam dunk,Three-pointer,Granny style
"When you have a cold, what is your nose most likely to do?",Run,Dance,Jump,Run
Which of these words does NOT make up the acronym laser'?,Energy,Amplification,Radiation,Energy
"In A League of Their Own,' Geena Davis plays professional baseball on a team in what state?",Illinois,Connecticut,Georgia,Illinois
What soothing TV personality spent two decades in the Air Force?,Bob Ross,Fred Rogers,Julia Child,Bob Ross
In which TV show is the main character's job in the US presidential line of succession?,Madam Secretary,Spin City,Murphy Brown,Madam Secretary
"By definition, what mode of transportation takes you underground?",Subway,Monorail,Blimp,Subway
The actor who voiced the Disney character Aladdin had a recurring role on what sitcom?,Full House,Growing Pains,Step by Step,Full House
The band behind which album shares its name with a sleep stage?,Automatic for the People,OK Computer,Superunknown,Automatic for the People
Which of these is the name of a popular card game?,Crazy Eights,Stern Sevens,Tender Tens,Crazy Eights
The massive game franchise that features pocket monsters' is better known as what?,Pok\xc3\xa9mon,Pocky Men,Pooky Moon,Pok\xc3\xa9mon
A fruit salad would likely include which of these things?,Melon,Corn muffins,Seltzer water,Melon
The only chemical element that can harmlessly melt in your hand is named after what country?,France,Poland,Russia,France
Which of these sports uses a spherical ball?,Lacrosse,Rugby,American football,Lacrosse
Which of these mythical creatures is known to breathe fire?,Dragon,Unicorn,Jackalope,Dragon
The 2018 winner of the animated short film Oscar was based on a basketball-themed what?,Poem,Childhood photo,Magazine interview,Poem
North American crosswords typically feature what kind of symmetry?,Rotational,Bilateral,Reflection,Rotational
Which of these phrases refers to debugging software?,Rubber ducking,Nest clearing,Egg rolling,Rubber ducking
"In basketball, where would you find the top of the key'?",Free throw circle,Center of the court,On the backboard,Free throw circle
A rotating sphere with lots of tiny mirrors attached is commonly called what?,Disco ball,Reggaeton orb,Hip-hop globule,Disco ball
Who is IBM's game-show-winning computer named after?,IBM's first CEO,Literary sidekick,Genetic researcher,IBM's first CEO
The highest scoring play in professional Scrabble history was the 2006 play of what word?,QUIXOTRY,SYZYGY,ZANJURO,QUIXOTRY
Which of these measurements from the sports world is the largest?,Width of NFL field,Home plate to first base,Length of NBA court,Width of NFL field
Which of these traditionally appears in the story of Cinderella?,Glass slippers,Grass clippers,Vestigial flippers,Glass slippers
Ice cream is traditionally served in which of these shapes?,Cone,Tetrahedron,Pentagram,Cone
Superstition holds that letting which of these people make your baby cry brings good luck?,Sumo wrestlers,Nuns,Postal workers,Sumo wrestlers
Where would you find a statue marking the spot of the first US presidential inauguration?,New York,Pennsylvania,Virginia,New York
The Safety Dance' is a 1983 hit by a band that hails from where?,Canada,United Kingdom,Australia,Canada
Which of these NBA teams was once located in Minnesota?,Lakers,Warriors,Cavaliers,Lakers
The ska genre of music often includes what type of instrument?,Trumpet,Electric violin,Triangle,Trumpet
In which sport do players throw a ball through a hoop ten feet off the ground?,Basketball,Bog snorkeling,Ferret legging,Basketball
Which of these countries' capital cities is farthest east?,Cambodia,Laos,Thailand,Cambodia
The Grand Ole Opry music house counts which US president as a past musical performer?,Richard Nixon,Jimmy Carter,Bill Clinton,Richard Nixon
Which of these golf terms comes from a word meaning the youngest'?,Caddie,Par,Bogey,Caddie
A popular type of massage gets its name from which of these countries?,Sweden,Switzerland,Suriname,Sweden
"In the classic fairy tale, who did Little Red Riding Hood's enemy dress up as?",Grandma,Left Shark,Dat boi,Grandma
The nursery rhyme As I Was Going to St. Ives' illustrates what math concept?,Powers of seven,Addition,Integrals,Powers of seven
Which of these products was NOT sold on infomercials by the company Ronco?,Ginsu knives,Pocket Fisherman,Mr. Microphone,Ginsu knives
What satirical measurement is described as the amount of beauty required to launch one ship'?,Millihelen,Kilobabe,Megawow,Millihelen
Which of these state flags has a drawing of a human being on it?,Nebraska,Utah,Vermont,Nebraska
Which of these nation's capitals does NOT contain the name of its country?,Honduras,Mexico,Guatemala,Honduras
Which of these scary words comes from the Latin root for rock'?,Petrified,Mortified,Terrified,Petrified
What theory attempts to explain the creation of the universe as we know it?,Big Bang,Tupac lives,Lizard people,Big Bang
Records with spiral grooves for playing music are commonly made of what material?,Vinyl,Cash money,Long pauses,Vinyl
Which of these units is named for a British scientist?,Joule,Volt,Ampere,Joule
"Which occupation specializes in pregnancy, birth, and women's reproductive health?",Midwife,Fullwife,Halfwife,Midwife
A carbonated beverage is colloquially called what?,Soda,Yoda,Hoda Kotb,Soda
The author of which best-selling book previously tried to have a singing career?,The Da Vinci Code,The Firm,Gone Girl,The Da Vinci Code
Which of these blockbuster movies was NOT directed by Michael Bay?,Con Air,Armageddon,The Rock,Con Air
"To a passenger facing the bow, the left side of a ship is known as what?",Port,Aft,Starboard,Port
Which of these artists did NOT record a song with a title that's the same word three times?,David Bowie,M\xc3\xb6tley Cr\xc3\xbce,NSYNC,David Bowie
What sound is usually made by the phonetic symbol known as \xc9\x''?,Uh,Eye,Shh,Uh
What Texan was responsible for the first-ever presidential barbecue?,Lyndon B. Johnson,Dwight D. Eisenhower,George W. Bush,Lyndon B. Johnson
"In relation to the gas and brake pedals, where is the clutch in an American car?",To the left,In the middle,To the right,To the left
Which of these is a popular patriotic attraction in the United States?,Mount Rushmore,Small Ben,Croptopolis,Mount Rushmore
Which of these bygone kingdoms was situated the farthest south?,Aragon,Meath,Bohemia,Aragon
Which of these states does NOT have an element named after it?,Oregon,Tennessee,California,Oregon
Which of these countries has an elected head of government who is also a reigning prince?,France,Luxembourg,Belgium,France
Which of these pork rib cuts is typically the least fatty?,Baby back,St. Louis style,Spare,Baby back
What state is home to the historical monument Tomb of the Unknown Soldier?,Virginia,Pennsylvania,New York,Virginia
Which of these states does NOT share a maritime border with another country?,Hawaii,Florida,Alaska,Hawaii
Denzel Washington won his first Oscar playing what role?,Union soldier,Corrupt cop,Civil rights activist,Union soldier
Which of these terms is a key step in the scientific process?,Hypothesis,Hippopotamus,Hype man,Hypothesis
What compact SUV is by the company whose name translates to three diamonds'?,Outlander,RAV4,Forester,Outlander
What manned space program did NASA conduct in between the Mercury and Apollo programs?,Gemini,Artemis,Vulcan,Gemini
Which of these is a language commonly spoken in the world of Star Trek'?,Klingon,Jedi,Elvish,Klingon
Which of these creatures is a reptile?,Turtle,Toad,Salamander,Turtle
What is the largest key on most computer keyboards?,Space bar,Escape key,Option key,Space bar
On what day is Memorial Day observed?,Last Monday of May,Last day of winter,First day of summer,Last Monday of May
The F' in the abbreviation TGIF traditionally stands for what?,Friday,Fuzzball,Fundamentally sound,Friday
Which of these actors has played the same US president in more than one film?,Robin Williams,Martin Sheen,Anthony Hopkins,Robin Williams
What hairstyle was Marie Antoinette known for?,Pouf,Crown braid,Bob cut,Pouf
The vehicle that smooths out ice at a hockey game is called a what?,Zamboni,Tortellini,Childish Gambino,Zamboni
Which of these is NOT a citrus fruit?,Mango,Clementine,Citron,Mango
The Hundred Acre Wood is home to what famous pig?,Piglet,Miss Piggy,Peppa Pig,Piglet
Longcase clocks are better known by what family-friendly name?,Grandfather clocks,Second cousin clocks,Stepbrother clocks,Grandfather clocks
The company most famous for giving stars to fancy restaurants also makes what?,Tires,Jewelry,Golf clubs,Tires
Which of these types of house styles gets its name from the shape of its roof?,A-frame,Ranch,Colonial,A-frame
What college preparatory test has a current maximum score of 1600?,SAT,GRE,ACT,SAT
Which of these cities is farthest north?,Helsinki,Stockholm,Moscow,Helsinki
Which of these sports uses a bat?,Cricket,Ice hockey,Basketball,Cricket
The time 12:05 AM can also be expressed as which of these phrases?,Five after midnight,Five past noon,Five of noon,Five after midnight
Which of these animals is a popular pet?,Hamster,Hyena,Hammerhead shark,Hamster
"According to legend, what did Saint Patrick chase out of Ireland?",Snakes,Hoverboards,Unread emails,Snakes
Drosophila melanogaster is the fancy name for an insect also known as what?,Vinegar fly,Horse-fly,Crane fly,Vinegar fly
A company that needs a bailout to continue to operate has what scary nickname?,Zombie,Ghost,Vampire,Zombie
Doors with windows that fill the frame are often called what?,French doors,Swiss gates,Canadian hatches,French doors
The classic cartoon character Popeye the Sailor got his strength from what food?,Spinach,Steamed hams,Steak,Spinach
What scientific research term refers to the thing being studied?,Specimen,Special sauce,Joe Spesci,Specimen
What computer accessory is used to move the cursor?,Mouse,Clicking aardvark,Pizza rat,Mouse
What food gets its name in part from a word meaning buttock'?,Bacon,Weisswurst,Mousse,Bacon
The French dish Hachis Parmentier was named after the man who persuaded his people to eat what?,Potatoes,Cheese,Saffron,Potatoes
Which of these American reality shows set its first season farthest from the mainland US?,Survivor,The Mole,Temptation Island,Survivor
Facebook paid the highest price to acquire which of these startups?,WhatsApp,Oculus VR,Instagram,WhatsApp
Which of these post-Renaissance design styles came first?,Baroque,Rococo,Neoclassical,Baroque
Which of these is NOT important to the proper functioning of brain cells?,Keratin,Serotonin,Dopamine,Keratin
What term describes the difference between the cost of producing an item and its sale price?,Margin,Overhead,Redundancy,Margin
"In the French phrase abbreviated RSVP, the R' stands for a word that means what in English?",Respond,Reapply,Royal,Respond
"In the lyrics to Hypnotize,' the Notorious BIG mentions a character from what film?",Star Wars,Die Hard,Titanic,Star Wars
A grabatologist is likely to have a house full of what?,Neckties,Orchids,Stolen goods,Neckties
Which of these terms describes someone licensed to perform eye surgery?,Ophthalmologist,Optician,Optometrist,Ophthalmologist
The film The Social Network' was co-scored by the writer of what hit '90s song?,Closer,Enter Sandman,Smells Like Teen Spirit,Closer
Scientist Charles Darwin famously believed in the survival of the what?,Fittest,Smoothest,Funkiest,Fittest
Which of these are often held up with suspenders?,Pants,Banks,Weekly meetings,Pants
Which of these highly visited attractions was once owned by a private citizen?,Stonehenge,Liberty Bell,Eiffel Tower,Stonehenge
Which of these rappers has NOT released a song that samples the seminal reggae hit Bam Bam'?,Drake,Kanye West,Jay-Z,Drake
The Latin phrase camera obscura' literally translates to what?,Dark room,Hidden image,Light source,Dark room
